               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.020484,           0.0074969,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056357,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022705,           0.0072709,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057073,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021506,           0.0080234,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056629,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020514,           0.0074362,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057187,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019832,           0.0074379,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057726,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021471,           0.0072849,                   0,                   0,                   0,                   0,                   0,                   0,            0.005796,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020115,           0.0064084,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058126,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.01987,           0.0084879,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058732,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019918,           0.0069531,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059395,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019532,           0.0080004,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059724,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.02002,           0.0071866,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060196,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019277,           0.0067362,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061016,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019417,           0.0078776,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061502,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018723,           0.0070075,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061665,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018054,           0.0074913,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061765,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018406,           0.0072072,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062056,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01918,           0.0068118,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062213,                   0,            0.000298,            0.000298,            0.000298
